a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,1.46,Los Angeles Clippers,free throw,,,,,,,2,,2,Paul,1,,foul,made,,,,,17-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=105,
,,,,,,,,,,1,1.30,Golden State Warriors,turnover,,,,,,,,,,Jack,,,Bad Pass,,,,,,17-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=107,
,,,,,,,,,,1,1.24,Los Angeles Clippers,shot,Odom,,,,,,,,,Barnes,2,,,made,,Driving Layup,,,19-30,1,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=108,
,,,,,,,,,,1,1.14,Los Angeles Clippers,foul,,,,,,,,,,Clippers,,,,,,,,,19-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=109,
,,,,,,,,,,1,1.14,Golden State Warriors,free throw,,,,,,,,,,Jack,1,,Technical,made,,,,,19-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=110,
,,,,,,,,,,1,1.14,Los Angeles Clippers,substitute,,,,Bledsoe,,Barnes,,,,,,,,,,,,,19-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=112,
,,,,,,,,,,1,1.11,Golden State Warriors,turnover,,,,,,,,,,Jack,,,Bad Pass,,,,,,19-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=113,
,,,,,,,,,,1,1.03,Los Angeles Clippers,shot,,,,,,,,,,Crawford,,,,missed,,Jump Shot,,,19-31,18,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=114,
,,,,,,,,,,1,1.02,Golden State Warriors,rebound,,,,,,,,,,Jenkins,,,,,,,,,19-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=115,
,,,,,,,,,,1,0.57,Golden State Warriors,turnover,,,,,,,,,,Jenkins,,,Bad Pass,,,,,,19-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=116,
,,,,,,,,,,1,0.53,Golden State Warriors,foul,,,,,,,,,,Landry,,,,,,Shooting,,,19-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=117,
,,,,,,,,,,1,0.53,Los Angeles Clippers,free throw,,,,,,,1,,2,Griffin,1,,foul,made,,,,,20-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=118,
,,,,,,,,,,1,0.53,Los Angeles Clippers,free throw,,,,,,,2,,2,Griffin,1,,foul,made,,,,,21-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=120,
,,,,,,,,,,1,0.40,Golden State Warriors,shot,,,,,,,,,,Landry,,,,missed,,Layup,,,21-31,2,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=122,
,,,,,,,,,,1,0.38,Los Angeles Clippers,rebound,,,,,,,,,,Paul,,,,,,,,,21-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=123,
,,,,,,,,,,1,0.31,Golden State Warriors,foul,,,,,,,,,,Biedrins,,,,,,Personal,,,21-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=124,
,,,,,,,,,,1,0.31,Los Angeles Clippers,free throw,,,,,,,1,,2,Griffin,1,,foul,made,,,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=125,
,,,,,,,,,,1,0.31,Golden State Warriors,substitute,,,,Curry,,Jenkins,,,,,,,,,,,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=127,
,,,,,,,,,,1,0.31,Golden State Warriors,substitute,,,,Thompson,,Green,,,,,,,,,,,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=128,
,,,,,,,,,,1,0.31,Los Angeles Clippers,free throw,,,,,,,2,,2,Griffin,,,foul,missed,,,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=129,
,,,,,,,,,,1,0.31,Golden State Warriors,rebound,,,,,,,,,,Biedrins,,,,,,,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=131,
,,,,,,,,,,1,0.11,Golden State Warriors,shot,,,,,,,,,,Jack,,,,missed,,Jump Shot,,,22-31,18,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=132,
,,,,,,,,,,1,0.10,Golden State Warriors,rebound,,,,,,,,,,Curry,,,,,,,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=133,
,,,,,,,,,,1,0.09,Los Angeles Clippers,foul,,,,,,,,,,Bledsoe,,,,,,Shooting,,,22-31,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=134,
,,,,,,,,,,1,0.09,Golden State Warriors,free throw,,,,,,,1,,2,Curry,1,,foul,made,,,,,22-32,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=135,
,,,,,,,,,,1,0.09,Golden State Warriors,substitute,,,,Green,,Biedrins,,,,,,,,,,,,,22-32,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=137,
,,,,,,,,,,1,0.09,Golden State Warriors,free throw,,,,,,,2,,2,Curry,1,,foul,made,,,,,22-33,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=140,
,,,,,,,,,,1,0.02,Los Angeles Clippers,shot,Crawford,,,,,,,,,Griffin,2,,,made,,Jump Shot,,,24-33,7,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=138,
,,,,,,,,,,1,0.00,Golden State Warriors,shot,,,,,,,,,,Jack,,,,missed,,3PT Jump Shot,,,24-33,38,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=142,
,,,,,,,,,,1,0.00,Golden State Warriors,rebound,,,,,,,,,,,,,,,,,,,24-33,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=144,
,,,,,,,,,,2,11.46,Golden State Warriors,shot,Lee,,,,,,,,,Jenkins,2,,,made,,Jump Shot,,,24-35,20,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=146,
,,,,,,,,,,2,11.26,Golden State Warriors,foul,,,,,,,,,,Green,,,,,,Shooting,,,24-35,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=147,
,,,,,,,,,,2,11.26,Los Angeles Clippers,free throw,,,,,,,1,,2,Turiaf,1,,foul,made,,,,,25-35,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=148,
,,,,,,,,,,2,11.26,Los Angeles Clippers,free throw,,,,,,,2,,2,Turiaf,,,foul,missed,,,,,25-35,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=150,
,,,,,,,,,,2,11.24,Golden State Warriors,rebound,,,,,,,,,,Landry,,,,,,,,,25-35,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=152,
,,,,,,,,,,2,11.14,Golden State Warriors,shot,,,,,,,,,,Green,,,,missed,,Jump Shot,,,25-35,7,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=153,
,,,,,,,,,,2,11.11,Golden State Warriors,rebound,,,,,,,,,,Landry,,,,,,,,,25-35,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=154,
