a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,0.56,Sacramento Kings,free throw,,,,,,,2,,3,Fredette,,,foul,missed,,,,,26-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=140,
,,,,,,,,,,1,0.56,Sacramento Kings,rebound,,,,,,,,,,,,,,,,,,,26-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=143,
,,,,,,,,,,1,0.56,Sacramento Kings,free throw,,,,,,,3,,3,Fredette,1,,foul,made,,,,,27-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=142,
,,,,,,,,,,1,0.47,Cleveland Cavaliers,shot,,,,,,,,,,Walton,,,,missed,,3PT Jump Shot,,,27-25,25,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=162,
,,,,,,,,,,1,0.44,Sacramento Kings,rebound,,,,,,,,,,Johnson,,,,,,,,,27-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=163,
,,,,,,,,,,1,0.32,Sacramento Kings,shot,,,,,,,,,,Johnson,,,,missed,,Layup,,,27-25,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=147,
,,,,,,,,,,1,0.32,Sacramento Kings,rebound,,,,,,,,,,Johnson,,,,,,,,,27-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=149,
,,,,,,,,,,1,0.30,Cleveland Cavaliers,foul,,,,,,,,,,Zeller,,,,,,Shooting,,,27-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=150,
,,,,,,,,,,1,0.30,Sacramento Kings,free throw,,,,,,,1,,2,Johnson,,,foul,missed,,,,,27-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=152,
,,,,,,,,,,1,0.30,Sacramento Kings,rebound,,,,,,,,,,,,,,,,,,,27-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=153,
,,,,,,,,,,1,0.30,Sacramento Kings,free throw,,,,,,,2,,2,Johnson,1,,foul,made,,,,,28-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=154,
,,,,,,,,,,1,0.11,Cleveland Cavaliers,shot,,,,,,,,,,Irving,,,,missed,,Jump Shot,,,28-25,8,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=157,
,,,,,,,,,,1,0.09,Cleveland Cavaliers,rebound,,,,,,,,,,Irving,,,,,,,,,28-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=158,
,,,,,,,,,,1,0.00,Cleveland Cavaliers,shot,,,,,,,,,,Irving,,,,missed,,Layup,,,28-25,2,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=159,
,,,,,,,,,,1,0.00,Cleveland Cavaliers,rebound,,,,,,,,,,,,,,,,,,,28-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=160,
,,,,,,,,,,2,11.42,Sacramento Kings,foul,,,,,,,,,,Fredette,,,,,,Shooting,,,28-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=166,
,,,,,,,,,,2,11.42,Cleveland Cavaliers,free throw,,,,,,,1,,2,Livingston,1,,foul,made,,,,,28-26,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=167,
,,,,,,,,,,2,11.42,Cleveland Cavaliers,free throw,,,,,,,2,,2,Livingston,1,,foul,made,,,,,28-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=169,
,,,,,,,,,,2,11.28,Cleveland Cavaliers,foul,,,,,,,,,,Walton,,,,,,Shooting,,,28-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=171,
,,,,,,,,,,2,11.28,Sacramento Kings,free throw,,,,,,,1,,2,Thompson,1,,foul,made,,,,,29-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=172,
,,,,,,,,,,2,11.28,Cleveland Cavaliers,substitute,,,,Jones,,Walton,,,,,,,,,,,,,29-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=174,
,,,,,,,,,,2,11.28,Sacramento Kings,free throw,,,,,,,2,,2,Thompson,1,,foul,made,,,,,30-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=175,
,,,,,,,,,,2,11.07,Cleveland Cavaliers,shot,,,,,,,,,,Waiters,,,,missed,,Step Back Jump Shot,,,30-27,15,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=177,
,,,,,,,,,,2,11.06,Sacramento Kings,rebound,,,,,,,,,,Thompson,,,,,,,,,30-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=178,
,,,,,,,,,,2,10.51,Sacramento Kings,shot,,,,,,,,,,Thompson,,,,missed,,Jump Shot,,,30-27,8,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=179,
,,,,,,,,,,2,10.50,Sacramento Kings,rebound,,,,,,,,,,Thompson,,,,,,,,,30-27,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=180,
,,,,,,,,,,2,10.49,Sacramento Kings,shot,,,,,,,,,,Thompson,2,,,made,,Jump Shot,,,32-27,9,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=181,
,,,,,,,,,,2,10.35,Cleveland Cavaliers,shot,,,,,,,,,,Gee,2,,,made,,Jump Shot,,,32-29,15,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=182,
,,,,,,,,,,2,10.13,Sacramento Kings,shot,,,,,,,,,,Fredette,,,,missed,,3PT Jump Shot,,,32-29,26,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=183,
,,,,,,,,,,2,10.12,Cleveland Cavaliers,rebound,,,,,,,,,,Jones,,,,,,,,,32-29,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=184,
,,,,,,,,,,2,10.00,Sacramento Kings,foul,,,,,,,,,,Thompson,,,,,,Shooting,,,32-29,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=185,
,,,,,,,,,,2,10.00,Cleveland Cavaliers,free throw,,,,,,,1,,2,Gee,1,,foul,made,,,,,32-30,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=186,
,,,,,,,,,,2,10.00,Cleveland Cavaliers,free throw,,,,,,,2,,2,Gee,1,,foul,made,,,,,32-31,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=188,
,,,,,,,,,,2,9.46,Sacramento Kings,shot,Hayes,,,,,,,,,Johnson,2,,,made,,Layup,,,34-31,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=190,
,,,,,,,,,,2,9.46,Cleveland Cavaliers,foul,,,,,,,,,,Gee,,,,,,Shooting,,,34-31,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=191,
,,,,,,,,,,2,9.46,Sacramento Kings,substitute,,,,Robinson,,Thompson,,,,,,,,,,,,,34-31,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=192,
,,,,,,,,,,2,9.46,Sacramento Kings,free throw,,,,,,,1,,1,Johnson,1,,foul,made,,,,,35-31,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=193,
,,,,,,,,,,2,9.26,Cleveland Cavaliers,turnover,,,,,,,,,,Gee,,,Lost Ball,,,,,,35-31,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=195,
,,,,,,,,,,2,9.19,Sacramento Kings,shot,,,,,,,,,,Fredette,,,,missed,,Reverse Layup,,,35-31,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=196,
