a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,2,11.30,Portland Trail Blazers,shot,,,,,,,,,,Babbitt,,,,missed,,3PT Jump Shot,,,30-23,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=131,
,,,,,,,,,,2,11.28,New York Knicks,rebound,,,,,,,,,,Prigioni,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=132,
,,,,,,,,,,2,11.06,New York Knicks,shot,,,,,,,,,,Stoudemire,,,,missed,,Jump Shot,,,30-23,13,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=133,
,,,,,,,,,,2,11.04,Portland Trail Blazers,rebound,,,,,,,,,,Hickson,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=134,
,,,,,,,,,,2,10.54,Portland Trail Blazers,shot,,,,,,,,,,Lillard,,,,missed,,3PT Jump Shot,,,30-23,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=135,
,,,,,,,,,,2,10.52,New York Knicks,rebound,,,,,,,,,,Novak,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=136,
,,,,,,,,,,2,10.32,New York Knicks,shot,,,,,,,,,,Stoudemire,,,,missed,,Jump Shot,,,30-23,16,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=137,
,,,,,,,,,,2,10.30,Portland Trail Blazers,rebound,,,,,,,,,,Lillard,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=138,
,,,,,,,,,,2,10.23,Portland Trail Blazers,shot,Price,,,,,,,,,Hickson,2,,,made,,Alley Oop Dunk,,,32-23,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=139,
,,,,,,,,,,2,9.56,New York Knicks,shot,,,,,,,,,,Copeland,,,,missed,,Driving Layup,,,32-23,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=140,
,,,,,,,,,,2,9.53,New York Knicks,rebound,,,,,,,,,,Prigioni,,,,,,,,,32-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=143,
,,,,,,,,,,2,9.47,New York Knicks,shot,Prigioni,,,,,,,,,Copeland,2,,,made,,Dunk,,,32-25,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=144,
,,,,,,,,,,2,9.35,Portland Trail Blazers,shot,,,,,,,,,,Matthews,2,,,made,,Driving Reverse Layup,,,34-25,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=145,
,,,,,,,,,,2,9.26,New York Knicks,timeout,,,,,,,,,,,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=146,
,,,,,,,,,,2,9.26,New York Knicks,substitute,,,,Chandler,,Stoudemire,,,,,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=148,
,,,,,,,,,,2,9.08,New York Knicks,shot,,,,,,,,,,Copeland,,,,missed,,3PT Jump Shot,,,34-25,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=150,
,,,,,,,,,,2,9.06,Portland Trail Blazers,rebound,,,,,,,,,,Matthews,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=151,
,,,,,,,,,,2,8.47,Portland Trail Blazers,shot,Lillard,,,,,,,,,Babbitt,3,,,made,,3PT Jump Shot,,,37-25,28,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=152,
,,,,,,,,,,2,8.40,Portland Trail Blazers,foul,,,,,,,,,,Price,,,,,,Personal,,,37-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=153,
,,,,,,,,,,2,8.40,New York Knicks,substitute,,,,Kidd,,Prigioni,,,,,,,,,,,,,37-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=156,
,,,,,,,,,,2,8.40,New York Knicks,substitute,,,,Anthony,,Copeland,,,,,,,,,,,,,37-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=157,
,,,,,,,,,,2,8.40,Portland Trail Blazers,substitute,,,,Barton,,Price,,,,,,,,,,,,,37-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=158,
,,,,,,,,,,2,8.35,New York Knicks,shot,,,,,,,,,,Anthony,,,,missed,,Layup,,,37-25,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=159,
,,,,,,,,,,2,8.33,New York Knicks,rebound,,,,,,,,,,Chandler,,,,,,,,,37-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=161,
,,,,,,,,,,2,8.33,New York Knicks,shot,,,,,,,,,,Chandler,,,,missed,,Tip Shot,,,37-25,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=160,
,,,,,,,,,,2,8.32,Portland Trail Blazers,rebound,,,,,,,,,,Lillard,,,,,,,,,37-25,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=162,
,,,,,,,,,,2,8.18,Portland Trail Blazers,shot,,,,,,,,,,Lillard,2,,,made,,Floating Jump Shot,,,39-25,8,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=164,
