quarter,time,eventtype,team,outof,numfreeshot,points,reason,result,type,score,shotdistance,x,url,y,asssist,awayjumpball,block,entered,homejumpball,left,opponent,player,steal
1,0:09.1,foul,Washington Wizards,,,,,,Shooting,24-29,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=113,,,,,,,,,A.J. Price,
1,0:09.1,free throw,Cleveland Cavaliers,2,1,1,foul,made,,24-30,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=114,,,,,,,,,Kyrie Irving,
1,0:09.1,free throw,Cleveland Cavaliers,2,2,1,foul,made,,24-31,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=116,,,,,,,,,Kyrie Irving,
1,0:03.8,foul,Cleveland Cavaliers,,,,,,Personal Take,24-31,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=118,,,,,,,,,Kyrie Irving,
1,0:00.9,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,24-31,26,201,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=119,308,,,,,,,,Trevor Booker,
1,0:00.2,rebound,Cleveland Cavaliers,,,,,,Defensive,24-31,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=120,,,,,,,,,C.J. Miles,
2,11:42.0,foul,Washington Wizards,,,,,,Shooting,24-31,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=124,,,,,,,,,Jannero Pargo,
2,11:42.0,free throw,Cleveland Cavaliers,2,1,,foul,missed,,24-31,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=125,,,,,,,,,Daniel Gibson,
2,11:42.0,rebound,Cleveland Cavaliers,,,,,,Offensive,24-31,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=126,,,,,,,,,,
2,11:42.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,24-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=127,,,,,,,,,Daniel Gibson,
2,11:24.0,shot,Washington Wizards,,,2,,made,Jump Shot,26-32,21,48,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=129,91,Jordan Crawford,,,,,,,Martell Webster,
2,11:06.0,turnover,Cleveland Cavaliers,,,,Bad Pass,,,26-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=130,,,,,,,,,C.J. Miles,Martell Webster
2,10:54.0,turnover,Washington Wizards,,,,Lost Ball,,,26-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=131,,,,,,,,,Jan Vesely,Tyler Zeller
2,10:47.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,26-32,1,260,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=132,53,,,,,,,,Donald Sloan,
2,10:46.0,rebound,Cleveland Cavaliers,,,,,,Offensive,26-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=133,,,,,,,,,Daniel Gibson,
2,10:39.0,foul,Washington Wizards,,,,,,Shooting,26-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=134,,,,,,,,,Martell Webster,
2,10:39.0,free throw,Cleveland Cavaliers,2,1,,foul,missed,,26-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=135,,,,,,,,,Tyler Zeller,
2,10:39.0,rebound,Cleveland Cavaliers,,,,,,Offensive,26-32,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=136,,,,,,,,,,
2,10:39.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,26-33,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=137,,,,,,,,,Tyler Zeller,
2,10:17.0,shot,Washington Wizards,,,2,,missed,Jump Shot,26-33,22,274,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=139,267,,,,,,,,Chris Singleton,
2,10:15.0,rebound,Cleveland Cavaliers,,,,,,Defensive,26-33,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=140,,,,,,,,,Tyler Zeller,
2,10:03.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,26-35,22,40,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=141,100,Donald Sloan,,,,,,,Daniel Gibson,
2,9:43.0,foul,Washington Wizards,,,,,,Offensive,26-35,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=142,,,,,,,,,,
2,9:43.0,turnover,Washington Wizards,,,,Foul,,,26-35,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=143,,,,,,,,,Chris Singleton,
2,9:33.0,foul,Washington Wizards,,,,,,Shooting,26-35,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=144,,,,,,,,,Jordan Crawford,
2,9:33.0,free throw,Cleveland Cavaliers,2,1,,foul,missed,,26-35,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=145,,,,,,,,,Daniel Gibson,
2,9:33.0,rebound,Cleveland Cavaliers,,,,,,Offensive,26-35,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=146,,,,,,,,,,
2,9:33.0,substitute,Cleveland Cavaliers,,,,,,,26-35,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=147,,,,,Anderson Varejao,,Tyler Zeller,,,
2,9:33.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=148,,,,,,,,,Daniel Gibson,
2,9:19.0,foul,Cleveland Cavaliers,,,,,,Shooting,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=150,,,,,,,,,Daniel Gibson,
2,9:19.0,free throw,Washington Wizards,2,1,,foul,missed,,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=151,,,,,,,,,Jan Vesely,
2,9:19.0,rebound,Washington Wizards,,,,,,Offensive,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=152,,,,,,,,,,
2,9:19.0,free throw,Washington Wizards,2,2,,foul,missed,,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=153,,,,,,,,,Jan Vesely,
2,9:17.0,rebound,Cleveland Cavaliers,,,,,,Defensive,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=155,,,,,,,,,Anderson Varejao,
2,8:59.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,26-36,16,130,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=156,158,,,,,,,,C.J. Miles,
2,8:58.0,rebound,Cleveland Cavaliers,,,,,,Offensive,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=157,,,,,,,,,Anderson Varejao,
2,8:53.0,turnover,Cleveland Cavaliers,,,,Traveling,,,26-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=158,,,,,,,,,Luke Walton,
2,8:38.0,shot,Washington Wizards,,,2,,made,Dunk,28-36,,250,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=163,51,Jannero Pargo,,,,,,,Jan Vesely,
2,8:22.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,28-36,26,117,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=164,272,,,,,,,,Luke Walton,
2,8:21.0,rebound,Washington Wizards,,,,,,Defensive,28-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=165,,,,,,,,,,
2,8:21.0,foul,Cleveland Cavaliers,,,,,,Loose ball,28-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=166,,,,,,,,,Donald Sloan,
2,8:21.0,substitute,Washington Wizards,,,,,,,28-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=167,,,,,Emeka Okafor,,Jan Vesely,,,
2,8:07.0,shot,Washington Wizards,,,2,,made,Dunk,30-36,1,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=169,62,Jordan Crawford,,,,,,,Chris Singleton,
2,7:45.0,violation,Washington Wizards,,,,Defensive Goaltending,,,30-36,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=171,,,,,,,,,Emeka Okafor,
2,7:45.0,shot,Cleveland Cavaliers,,,2,,made,Layup,30-38,,251,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=170,54,,,,,,,,Anderson Varejao,
