" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","5","07.0","rebound","Washington Wizards","","","","","","Offensive","17-17","","","","","","","","","","","","","","","","","","","","","","1","5","07","rebound","Washington Wizards","","","","","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=69","","","","","","","","","","78"
"1","5","01.0","shot","Washington Wizards","","","2","","missed","jumper","17-17","22","416","190","","","","","","","","","","","","","","","Bradley","Beal","","","1","5","01","shot","Washington Wizards","","","","","missed","Jump Shot","17-17","22","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=71","","","","","","","","Beal","","80"
"1","5","00.0","rebound","Cleveland Cavaliers","","","","","","Defensive","17-17","","","","","","","","","","","","","","","","","","C.J.","Miles","","","1","5","00","rebound","Cleveland Cavaliers","","","","","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=72","","","","","","","","Miles","","80"
"1","4","52.0","shot","Cleveland Cavaliers","","","2","","missed","jumper","17-17","17","97","121","","","","","","","","","","","","","","","Kyrie","Irving","","","1","4","52","shot","Cleveland Cavaliers","","","","","missed","Jump Shot","17-17","17","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=73","","","","","","","","Irving","","80"
"1","4","51.0","rebound","Washington Wizards","","","","","","Defensive","17-17","","","","","","","","","","","","","","","","","","Trevor","Ariza","","","1","4","51","rebound","Washington Wizards","","","","","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=74","","","","","","","","Ariza","","80"
"1","4","35.0","foul","Washington Wizards","","","","","","Personal","17-17","","","","","","","","","","","","","","","","Emeka","Okafor","Tyler","Zeller","","","1","4","35","foul","Cleveland Cavaliers","","","","","","Personal","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=75","","","","","","","","Zeller","","73"
"1","4","22.0","shot","Washington Wizards","","","2","","missed","hook shot","17-17","7","278","114","","","","","","","","","","","","","","","Trevor","Booker","","","1","4","22","shot","Washington Wizards","","","","","missed","Hook Shot","17-17","7","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=77","","","","","","","","Booker","","80"
"1","4","19.0","rebound","Washington Wizards","","","","","","Offensive","17-17","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","4","19","rebound","Washington Wizards","","","","","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=78","","","","","","","","Okafor","","80"
"1","4","17.0","turnover","Washington Wizards","","","","lost ball","","","17-17","","","","","","","","","","","","","","","","","","Emeka","Okafor","Alonzo","Gee","1","4","17","turnover","Washington Wizards","","","","Lost Ball","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=79","","","","","","","","Okafor","Gee","82"
"1","4","11.0","turnover","Cleveland Cavaliers","","","","3 sec","","","17-17","","","","","","","","","","","","","","","","","","Tristan","Thompson","","","1","4","11","turnover","Cleveland Cavaliers","","","","3 Second Violation","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=80","","","","","","","","Thompson","","80"
"1","3","48.0","turnover","Washington Wizards","","","","lost ball","","","17-17","","","","","","","","","","","","","","","","","","A.J.","Price","Tristan","Thompson","1","3","48","turnover","Washington Wizards","","","","Lost Ball","","","17-17","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=81","","","","","","","","Price","Thompson","82"
"1","3","41.0","shot","Cleveland Cavaliers","","","2","","made","dunk","17-19","","254","47","","","","","","","","","","","","","","","Tristan","Thompson","","","1","3","41","shot","Cleveland Cavaliers","","","2","","made","Dunk","17-19","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=82","","","","","","","","Thompson","","82"
"1","3","31.0","foul","Washington Wizards","","","","","","Personal","17-19","","","","","","","","","","","","","","","","A.J.","Price","Alonzo","Gee","","","1","3","31","foul","Cleveland Cavaliers","","","","","","Personal","17-19","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=83","","","","","","","","Gee","","73"
"1","3","31.0","substitute","Washington Wizards","","","","","","","17-19","","","","","","","","","","Jan","Vesely","","","Emeka","Okafor","","","","","","","1","3","31","substitute","Washington Wizards","","","","","","","17-19","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=84","","","","Vesely","","Okafor","","","","82"
"1","3","31.0","substitute","Cleveland Cavaliers","","","","","","","17-19","","","","","","","","","","Daniel","Gibson","","","Alonzo","Gee","","","","","","","1","3","31","substitute","Cleveland Cavaliers","","","","","","","17-19","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=85","","","","Gibson","","Gee","","","","82"
"1","3","16.0","shot","Washington Wizards","","","2","","missed","jumper","17-19","10","182","125","","","","","","","","","","","","","","","Trevor","Booker","","","1","3","16","shot","Washington Wizards","","","","","missed","Jump Shot","17-19","10","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=86","","","","","","","","Booker","","80"
