" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","3","35.0","rebound","Sacramento Kings","","","","","","Defensive","17-16","","","","","","","","","","","","","","","","","","Tyreke","Evans","","","1","3","35","rebound","Sacramento Kings","","","","","","","17-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=73","","","","","","","","Evans","","80"
"1","3","22.0","turnover","Sacramento Kings","","","","lost ball","","","17-16","","","","","","","","","","","","","","","","","","DeMarcus","Cousins","Richard","Hamilton","1","3","22","turnover","Sacramento Kings","","","","Lost Ball","","","17-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=74","","","","","","","","Cousins","Hamilton","82"
"1","3","19.0","shot","Chicago Bulls","","","2","","made","shot","17-18","2","254","65","Richard","Hamilton","","","","","","","","","","","","","Joakim","Noah","","","1","3","19","shot","Chicago Bulls","","","2","","made","Running Dunk","17-18","2","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=75","Hamilton","","","","","","","Noah","","84"
"1","3","10.0","violation","Chicago Bulls","","","","kicked ball","","","17-18","","","","","","","","","","","","","","","","","","Kirk","Hinrich","","","1","3","10","violation","Chicago Bulls","","","","Kicked Ball","","","17-18","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=76","","","","","","","","Hinrich","","80"
"1","3","10.0","substitute","Chicago Bulls","","","","","","","17-18","","","","","","","","","","Taj","Gibson","","","Carlos","Boozer","","","","","","","1","3","10","substitute","Chicago Bulls","","","","","","","17-18","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=77","","","","Gibson","","Boozer","","","","82"
"1","3","02.0","shot","Sacramento Kings","","","3","","made","jumper","20-18","26","341","291","Tyreke","Evans","","","","","","","","","","","","","Isaiah","Thomas","","","1","3","02","shot","Sacramento Kings","","","3","","made","3PT Jump Shot","20-18","26","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=78","Evans","","","","","","","Thomas","","84"
"1","2","36.0","shot","Chicago Bulls","","","3","","missed","jumper","20-18","25","93","245","","","","","","","","","","","","","","","Kirk","Hinrich","","","1","2","36","shot","Chicago Bulls","","","","","missed","3PT Jump Shot","20-18","25","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=80","","","","","","","","Hinrich","","80"
"1","2","35.0","rebound","Sacramento Kings","","","","","","Defensive","20-18","","","","","","","","","","","","","","","","","","Jason","Thompson","","","1","2","35","rebound","Sacramento Kings","","","","","","","20-18","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=81","","","","","","","","Thompson","","80"
"1","2","26.0","shot","Sacramento Kings","","","2","","made","jumper","22-18","22","303","266","","","","","","","","","","","","","","","Tyreke","Evans","","","1","2","26","shot","Sacramento Kings","","","2","","made","Jump Shot","22-18","22","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=82","","","","","","","","Evans","","82"
"1","2","05.0","foul","Chicago Bulls","","","","","","Def 3 sec tech","22-18","","","","","","","","","","","","","","","","","","Isaiah","Thomas","","","1","2","05","foul","Sacramento Kings","","","","","","","22-18","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=84","","","","","","","","","","69"
"1","2","05.0","timeout","Chicago Bulls","","","","","","full","22-18","","","","","","","","","","","","","","","","","","","","","","1","2","05","timeout","Sacramento Kings","","","","","","","22-18","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=85","","","","","","","","","","69"
